index,state1,state2,length
1,AL,FL,196.1
2,AL,GA,291.3
3,AL,MS,323.9
4,AL,TN,146.7
5,AR,LA,166.5
6,AR,MO,325.3
7,AR,MS,282.8
8,AR,OK,198.2
9,AR,TN,125.1
10,AR,TX,65.0
11,AZ,CA,198.4
12,AZ,CO,0.0
13,AZ,NM,391.0
14,AZ,NV,181.4
15,AZ,UT,275.8
16,CA,NV,608.2
17,CA,OR,216.3
18,CO,KS,207.7
19,CO,NE,173.2
20,CO,NM,333.0
21,CO,OK,52.9
22,CO,UT,276.1
23,CO,WY,260.2
24,CT,MA,86.5
25,CT,NY,82.3
26,CT,RI,40.3
27,DC,MD,24.6
28,DC,VA,1.9
29,DE,MD,122.0
30,DE,NJ,1.4
31,DE,PA,22.6
32,FL,GA,261.4
33,GA,NC,68.6
34,GA,SC,249.6
35,GA,TN,72.6
36,IA,MN,262.1
37,IA,MO,235.0
38,IA,NE,148.9
39,IA,SD,85.6
40,IA,WI,86.7
41,ID,MT,569.8
42,ID,NV,153.0
43,ID,OR,305.8
44,ID,UT,153.6
45,ID,WA,210.3
46,ID,WY,170.7
47,IL,IA,200.5
48,IL,IN,295.5
49,IL,KY,122.4
50,IL,MO,331.6
51,IL,WI,144.4
52,IN,KY,296.0
53,IN,MI,108.4
54,IN,OH,178.8
55,KS,MO,307.5
56,KS,NE,356.5
57,KS,OK,409.1
58,KY,MO,59.8
59,KY,OH,155.5
60,KY,TN,338.5
61,KY,VA,119.0
62,KY,WV,79.1
63,LA,MS,456.6
64,LA,TX,222.7
65,MA,NH,86.7
66,MA,NY,49.4
67,MA,RI,62.6
68,MA,VT,40.9
69,MD,PA,195.7
70,MD,VA,253.7
71,MD,WV,174.0
72,ME,NH,159.3
73,MI,OH,69.7
74,MI,WI,205.1
75,MN,ND,217.1
76,MN,SD,180.8
77,MN,WI,291.1
78,MO,NE,53.6
79,MO,OK,34.4
80,MO,TN,60.9
81,MS,TN,119.2
82,MT,ND,210.8
83,MT,SD,65.3
84,MT,WY,377.7
85,NC,SC,312.2
86,NC,TN,218.9
87,NC,VA,327.7
88,ND,SD,359.0
89,NE,SD,399.4
90,NE,WY,138.0
91,NH,VT,180.0
92,NJ,NY,103.4
93,NJ,PA,150.9
94,NM,OK,34.5
95,NM,TX,536.2
96,NM,UT,0.0
97,NV,OR,152.5
98,NV,UT,344.6
99,NY,PA,306.1
100,NY,VT,80.3
101,OH,PA,92.4
102,OH,WV,243.5
103,OK,TX,715.4
104,OR,WA,385.8
105,PA,WV,118.6
106,SD,WY,137.7
107,TN,VA,110.7
108,UT,WY,173.1
109,VA,WV,381.2
110,FL,AL,196.1
111,GA,AL,291.3
112,MS,AL,323.9
113,TN,AL,146.7
114,LA,AR,166.5
115,MO,AR,325.3
116,MS,AR,282.8
117,OK,AR,198.2
118,TN,AR,125.1
119,TX,AR,65.0
120,CA,AZ,198.4
121,CO,AZ,0.0
122,NM,AZ,391.0
123,NV,AZ,181.4
124,UT,AZ,275.8
125,NV,CA,608.2
126,OR,CA,216.3
127,KS,CO,207.7
128,NE,CO,173.2
129,NM,CO,333.0
130,OK,CO,52.9
131,UT,CO,276.1
132,WY,CO,260.2
133,MA,CT,86.5
134,NY,CT,82.3
135,RI,CT,40.3
136,MD,DC,24.6
137,VA,DC,1.9
138,MD,DE,122.0
139,NJ,DE,1.4
140,PA,DE,22.6
141,GA,FL,261.4
142,NC,GA,68.6
143,SC,GA,249.6
144,TN,GA,72.6
145,MN,IA,262.1
146,MO,IA,235.0
147,NE,IA,148.9
148,SD,IA,85.6
149,WI,IA,86.7
150,MT,ID,569.8
151,NV,ID,153.0
152,OR,ID,305.8
153,UT,ID,153.6
154,WA,ID,210.3
155,WY,ID,170.7
156,IA,IL,200.5
157,IN,IL,295.5
158,KY,IL,122.4
159,MO,IL,331.6
160,WI,IL,144.4
161,KY,IN,296.0
162,MI,IN,108.4
163,OH,IN,178.8
164,MO,KS,307.5
165,NE,KS,356.5
166,OK,KS,409.1
167,MO,KY,59.8
168,OH,KY,155.5
169,TN,KY,338.5
170,VA,KY,119.0
171,WV,KY,79.1
172,MS,LA,456.6
173,TX,LA,222.7
174,NH,MA,86.7
175,NY,MA,49.4
176,RI,MA,62.6
177,VT,MA,40.9
178,PA,MD,195.7
179,VA,MD,253.7
180,WV,MD,174.0
181,NH,ME,159.3
182,OH,MI,69.7
183,WI,MI,205.1
184,ND,MN,217.1
185,SD,MN,180.8
186,WI,MN,291.1
187,NE,MO,53.6
188,OK,MO,34.4
189,TN,MO,60.9
190,TN,MS,119.2
191,ND,MT,210.8
192,SD,MT,65.3
193,WY,MT,377.7
194,SC,NC,312.2
195,TN,NC,218.9
196,VA,NC,327.7
197,SD,ND,359.0
198,SD,NE,399.4
199,WY,NE,138.0
200,VT,NH,180.0
201,NY,NJ,103.4
202,PA,NJ,150.9
203,OK,NM,34.5
204,TX,NM,536.2
205,UT,NM,0.0
206,OR,NV,152.5
207,UT,NV,344.6
208,PA,NY,306.1
209,VT,NY,80.3
210,PA,OH,92.4
211,WV,OH,243.5
212,TX,OK,715.4
213,WA,OR,385.8
214,WV,PA,118.6
215,WY,SD,137.7
216,VA,TN,110.7
217,WY,UT,173.1
218,WV,VA,381.2